   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   10800  4.23501943E-02  4.08371516E-01 -4.06520894E-01  8.97391405E-01  8.01740185E-02
   10850  1.46115740E-01  4.08022324E-01 -4.48987374E-01  9.03564692E-01  6.56885884E-02
   10900  1.26860998E-01  3.57427589E-01 -4.38459566E-01  9.00567522E-01  8.21515263E-02
   10950  1.35674999E-01  4.34347201E-01 -4.26667124E-01  9.81717716E-01  5.69663866E-02
   11000  2.57153307E-01  4.52679880E-01 -3.55890827E-01  8.72750385E-01  7.30446078E-02
   11050  2.05093905E-01  4.25570387E-01 -4.02045011E-01  8.44482185E-01  4.31157743E-02
   11100  2.02185160E-01  5.12751346E-01 -4.03004359E-01  9.26189252E-01  1.03992584E-01
   11150  1.10146219E-01  6.46294350E-01 -2.62752322E-01  9.25872082E-01  4.01133950E-02
   11200  1.40759552E-01  6.44399452E-01 -2.87766649E-01  8.77950420E-01  1.32643980E-01
   11250  1.64716325E-01  6.42336043E-01 -2.45016838E-01  8.96838420E-01  9.66304003E-02
   11300  1.64202514E-01  6.35585211E-01 -2.38375134E-01  8.99923591E-01  3.91845237E-02
   11350  1.33510943E-01  5.97171293E-01 -2.54993806E-01  8.93745143E-01  7.43371983E-02
   11400  3.93006798E-02  6.02831444E-01 -3.06464235E-01  9.10211429E-01  1.03464052E-01
   11450 -2.11848689E-02  5.30805407E-01 -2.68683814E-01  8.98277740E-01  1.03644534E-01
   11500  1.41584871E-02  5.17524405E-01 -2.45454286E-01  8.62671177E-01  1.38159104E-01
   11550 -6.08565497E-03  5.95533141E-01 -2.92308693E-01  9.19778030E-01  8.85650691E-02
   11600 -5.48229431E-02  5.48418322E-01 -4.96231470E-01  9.59591789E-01  9.42198482E-02
   11650 -1.21551639E-01  5.98309601E-01 -4.26565229E-01  9.47776111E-01  4.62607996E-02
   11700  3.73370822E-02  5.43742155E-01 -4.57418073E-01  9.04131674E-01  2.75637407E-02
   11750  2.38290175E-01  5.55434187E-01 -4.60274477E-01  9.43276947E-01  6.89872806E-02
   11800  3.82591080E-01  4.18501451E-01 -4.76877826E-01  8.85807633E-01  1.37642509E-01
   11850  2.68132368E-01  3.98827702E-01 -4.53801236E-01  8.28736183E-01  7.38522866E-02
   11900  2.19017650E-01  4.04963110E-01 -5.58139777E-01  9.03960133E-01  5.15630354E-02
   11950  1.91529370E-01  3.44261784E-01 -4.97933602E-01  8.60187331E-01  6.62768510E-02
   12000  2.29508095E-01  3.11603243E-01 -4.26970075E-01  8.60229039E-01  1.25157679E-01
   12050  3.93700232E-01  3.42752667E-01 -5.01590298E-01  9.14475522E-01  8.49674896E-02
   12100  4.19700673E-01  3.35450446E-01 -5.78591325E-01  9.52738279E-01  5.67327164E-02
   12150  4.15282459E-01  3.22231813E-01 -6.15446455E-01  9.32872966E-01  9.82056634E-02
   12200  3.68939183E-01  2.80895289E-01 -5.89635304E-01  9.27304262E-01  5.22798000E-02
   12250  5.34404466E-01  1.14365652E-01 -4.82662479E-01  8.74787230E-01  5.32914436E-02
   12300  5.60597818E-01  2.94211596E-03 -3.88344588E-01  8.53303354E-01  6.90754916E-02
   12350  5.63762680E-01  9.55167782E-02 -5.19514104E-01  9.45587704E-01  9.60717934E-02
   12400  5.83424861E-01  1.41489023E-01 -5.19045611E-01  9.33508424E-01  8.54066089E-02
   12450  5.65858094E-01  1.10618661E-03 -4.15237262E-01  8.45688589E-01  8.45364396E-02
   12500  3.80585358E-01  2.03204108E-02 -4.14263609E-01  7.87154533E-01  7.78078791E-02
   12550  5.37447180E-01 -2.69022166E-02 -3.44232729E-01  8.88069106E-01  4.45497817E-02
   12600  5.35445485E-01 -1.38513810E-02 -3.49307677E-01  9.25563358E-01  4.93275227E-02
   12650  5.29761820E-01 -1.35748894E-01 -2.60986988E-01  9.27324192E-01  6.06579771E-02
   12700  4.73333326E-01 -4.56053403E-02 -1.95850370E-01  8.49094495E-01  7.88692857E-02
   12750  4.57734524E-01 -5.85652592E-02 -6.31509011E-02  7.77563461E-01  1.24231602E-01
   12800  4.81322679E-01 -1.35994650E-01  1.58653447E-01  8.22370661E-01  2.13915927E-01
   12850  5.56695355E-01 -1.53482205E-01  1.66988819E-01  9.13105034E-01  1.94853837E-01
   12900  4.32320193E-01 -1.68963662E-01  2.13815883E-01  8.39495501E-01  1.27193341E-01
   12950  4.79184709E-01 -2.76190365E-01  2.33726431E-01  9.12995257E-01  1.18702651E-01
   13000  4.25330782E-01 -2.59224427E-01  1.86310721E-01  8.88318960E-01  4.22816899E-02
   13050  3.67810762E-01 -2.29699214E-01  2.45564624E-01  8.43816548E-01  8.57795675E-02
   13100  3.49053466E-01 -1.81148148E-01  3.51071312E-01  8.76358558E-01  1.28933091E-01
